Language,Name,URL,E-mail
English,2tainment GmbH,www.2tainment.com,info@2tainment.com
English,42 Bits Entertainment,https://www.42bits-entertainment.com/,press@42bits-entertainment.com
English,5th Planet Games GmbH,https://www.5thplanetgames.com/,info@5thplanetgames.com
English,A.MUSE – Interactive Design Studio,www.amuse.vision,hello@amuse.vision
English,AAS Achtung Autobahn Studios UG,https://achtungautobahn.com/,info@achtungautobahn.com
English,About Cannons + Sparrows Gbr,www.acas.studio,kabooom@cannonsandsparrows.com
English,Actrio Studio UG,http://actrio-studio.de/,info@actrio-studio.de
English,Aesir Interactive GmbH,https://aesir-interactive.com/,hq@aesir-interactive.com
English,Ahoiii Entertainment UG,www.ahoiii.com,support@ahoiii.com
English,Airborn Studios GmbH,www.airborn-studios.com,info@airborn-studios.com
English,Alchemist Interactive GmbH,https://www.alchemist.email,contact@alchemist.email
English,Anaconda Game Studios,https://anacondagamestudios.com/,press-contact@anacondagamestudios.com
English,Andarion Games GmbH,https://www.andarion-games.com/,info@andarion-games.com
English,Andrade Games,https://andrade-games.com/,mail@andrade-games.com
English,Anomaly Games UG,https://fermi-paradox.carbonmade.com/,contact@fermi-paradox.com
English,anotherworld GmbH (AnotherWorld VR),http://anotherworldvr.com/,info@anotherworldvr.com
English,Anteater Games GmbH,www.anteater-games.com,contact@anteater-games.com
English,Area 1 GmbH,https://www.area1.one,info@area1.one
English,Arnold Rauers,www.tinytouchtales.com,hello@tintouchtales.com
English,ARQUOIA,arquoia.com,studio@arquoia.com
English,Ascendancy Games UG,https://ascendancygames.de,info@ascendancygames.de
English,AsgardSoft GmbH,https://asgardsoft.com,Service@AsgardSoft.com
English,Assemble Entertainment GmbH,www.assemble-entertainment.com,info@assemble-entertainment.com
English,Asylum Square Interactive GmbH,https://www.asylumsquare.com,contact@asylumsquare.com
English,Augmented Robotics GmbH,https://www.augmented-robotics.com/,info@augmented-robotics.com
English,B-Alive GmbH,www.b-alive.de,admin@b-alive.de
English,Backwoods Entertainment GbR,www.backwoods-entertainment.com,contact@backwoods-entertainment.com
English,Bad Monkee GmbH,www.badmonkee.de,info@badmonkee.de
English,Bagpack Games UG (haftungsbeschränkt),www.bagpack.games,mail@bagpack.games
English,Barrel Roll Games GmbH & Co. KG,barrelrollgames.com,contact@barrelrollgames.com
English,battyRabbit UG (haftungsbeschränkt),https://battyrabbit.com,contact@battyRabbit.com
English,BBG Entertainment GmbH,www.bbg-entertainment.com,info@bbg-entertainment.com
English,Beardshaker Games,www.beardshaker.com,contact@beardshaker.com
English,Benjamin Justice - BrutalHack,https://www.BrutalHack.com,contact@BrutalHack.com
English,Bigitec GmbH,http://www.bigitec.com,info@bigitec.com
English,BIGPOINT GMBH,www.bigpoint.com,press@bigpoint.net
English,BINJI CLASEN UND CLASEN GBR,www.binji.de,hello@binji.de
English,Bit Barons GmbH,www.bitbarons.com,info@bitbarons.com
English,bitComposer Interactive GmbH,www.bitcomposer.com,info@bitcomposer.com
English,Bite Through Entertainment UG,https://bitethrough.com/,info@bitethrough.com
English,Black Forest Games GmbH,black-forest-games.com,info@bfgames.biz
English,Black Pants Studio GmbH BERLIN,www.blackpants.de,mail@blackpants.de
English,blackHound GmbH,www.blackhoundstudios.com,hello@soulven.com
English,Blankhans GmbH,https://blankhans.io/,contact@blankhans.io
English,Bleakmill GmbH,http://www.bleakmill.com,hello@bleakmill.com
English,Bling Bling Games GmbH,blingblinggames.com,info@blingblinggames.com
English,Blue Ocean Entertainment AG,www.blue-ocean-ag.de,apps@blue-ocean-ag.de
English,Bonus Level Entertainment UG,http://bonuslevel.com/,info@bonuslevel.com
English,Boxelware GmbH,http://boxelware.de/,contact@avorion.net
English,Brain Connected,http://portaldogs.com,contact@portaldogs.com
English,Brainseed Factory e.K.,http://www.brainseed-factory.com,studio@brainseed-factory.com
English,Breakpoint One GmbH,https://www.breakpoint.one/,contact@breakpoint.one
English,Brew Games Hamburg GmbH,https://www.brew-games.com,info@brew-games.com
English,Bright Future GmbH,https://brightfuture.de,info@brightfuture.de
English,btf GmbH,https://btf.de,info@btf.de
English,Byteghoul UG,http://www.byteghoul.com,contact@byteghoul.com
English,Bytro Labs GmbH,www.bytro.com,info@bytro.com
English,celrage GmbH,www.celrage.com,info@celrage.com
English,Chasing Carrots GmbH & Co. KG,www.chasing-carrots.com,info@chasing-carrots.com
English,Chimera Entertainment GmbH,www.chimera-entertainment.de,info@chimera-entertainment.de
English,Classy Kitten Games UG,classykitten.games,contact@classykitten.games
English,Claymore Game Studios GmbH,https://claymore-games.com/,info@claymore-games.com
English,Clockwork Origins - Bonrath & Frenzel GbR,https://clockwork-origins.com,contact@clockwork-origins.com
English,Cloud Imperium Games Ltd.,www.cloudimperiumgames.com,info@cloudimperiumgames.com
English,ColdFire Games GmbH,http://www.coldfiregames.com/,info@coldfiregames.com
English,com8com1 Software,https://www.com8com1.com/,contact@com8com1.com
English,Competition Company GmbH (Rennsport.gg),https://www.rennsport.gg/,info@competition.company
English,cooee GmbH,https://www.clubcooee.com,info@clubcooee.com
English,core x group,www.core-x-group.com,contact@core-x-group.com
English,Couch in the Woods Interactive,https://couchinthewoods.de/,contact@couchinthewoods.de
English,Crafting Legends UG (haftungsbeschränkt),http://www.craftinglegends.com/,info@craftinglegends.com
English,CRATR.games GmbH,https://CRATR.games,contact@cratr.games
English,Crazy Labs,https://www.crazylabs.com,pr@crazylabs.com
English,CrazyBunch UG,www.crazybunch.biz,team@crazybunch.biz
English,Creactstudios GbR,creactstudios.com,info@creactstudios.de
English,CRENETIC GMBH STUDIOS,www.crenetic.de,info@crenetic.de
English,Cribster UG,https://www.cribster.biz,contact@cribster.biz
English,Crimson Company UG,https://www.crimsoncompany.cc/,crimsoncompany@gmx.net
English,Crit Crew GmbH,https://critcrew.com/,info@critcrew.com
English,Crows Crows Crows GmbH,https://crowscrowscrows.com/,hello@crowscrowscrows.com
English,CRUNCHY LEAF GAMES GMBH & CO. KG,http://www.crunchyleafgames.com/,hello@crunchylg.com
English,CrystalMesh UG (haftungsbeschränkt),http://crystalmesh.de/,contact@creatingcorner.de
English,Crytek GmbH,www.crytek.com,info@crytek.de
English,Cubidoo Entertainment UG,www.cubidoo.de,contact@cubidoo.de
English,Curvature Games GmbH,https://curvaturegames.com/,mail@curvaturegames.com
English,Cyber Manatee GmbH,https://cybermanatee.com/,info@cybermanatee.com
English,Cykyria – Virtual Reality,https://www.cykyria.com/,info@cykyria.de
English,Daedalic Entertainment GmbH,www.daedalic.com,info@daedalic.com
English,DECA LIVE OPERATIONS GMBH,http://decagames.com/#home,partner@decagames.com
English,Deck 13 Interactive GmbH,www.deck13.com,info@deck13.com
English,Deep Silver FISHLABS,www.dsfishlabs.com,business@dsfishlabs.com
English,DEFICIT Games GmbH,www.deficit-games.de,mail@deficit.games
English,Demodern GmbH Hamburg,https://demodern.de/,hi@demodern.de
English,designmatic GmbH,https://www.designmatic.xyz/,info@designmatic.xyz
English,Devil Cookie Games UG,https://devilcookie.com/website/index.html,info@devilcookie.com
English,Dexai Arts UG,http://dexai-arts.com/,info@dexai-arts.com
English,Digidiced UG,https://digidiced.com,info@digidiced.com
English,DigiTales Interactive UG (haftungsbeschränkt),http://digitales.games/,contact@digitales.games
English,Digitalmindsoft e.K.,http://www.digitalmindsoft.eu/,info@digitalmindsoft.eu
English,Digitalsirup GmbH,https://www.digitalsirup.com/,contact@digitalsirup.com
English,Dionic Software (Oachkatzlschwoaf Interactive UG (haftungsbeschränkt)),https://dionicsoftware.com/,press@dionicsoftware.com
English,DIVR e.V.,https://divr.de/,contact@divr.de
English,Don VS Dodo,https://donvsdodo.de/,studio@donvsdodo.com
English,Doppel Real GbR,https://doppelreal.com/,info@doppelreal.com
English,Dot8 Studio,https://dot8studio.com/,business@dot8studio.com
English,DOTW GmbH (Ducks on the Water),www.ducks-on-the-water.com,post@ducks-on-the-water.com
English,Dreamfab GmbH & Co. KG,www.dreamfab.com,askthedevs@dreamfab.com
English,DU&I UG,https://duandigames.com/,contact@duandigames.com
English,Dutyfarm GmbH,www.dutyfarm.com,info@dutyfarm.com
English,Edurino GmbH,https://edurino.com/,info@edurino.com
English,Egosoft GmbH,www.egosoft.com,info@egosoft.com
English,Electronic Arts GmbH,www.ea.de,info@ea.com
English,Elysium Game Studio UG,https://www.elysiumgamestudio.com/,contact@elysiumgamestudio.co
English,encurio GmbH,https://www.encurio.com,info@encurio.com
English,Endzeit Entertainment,http://endzeit-entertainment.com/,info@endzeit-entertainment.com
English,Enigma Entertainment,http://enigmaentertainment.net/,contact@enigaentertainment.net
English,ENREVO UG,https://enrevo.de/,hello@enrevo.de
